city_id,city_name,line_id,line_name,line_hex_color,station_id,station_name,lat,lng,order
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.34,Dinamo,55.789704,37.558212,7
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.19,Belorusskaya,55.777439,37.582107,8
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.80,Mayakovskaya,55.769808,37.596192,9
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.122,Tverskaya,55.765343,37.603918,10
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.99,Teatralnaya,55.758808,37.61768,11
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.89,Novokuznetskaya,55.742391,37.62928,12
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.101,Paveletskaya,55.729741,37.638693,13
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.2,Avtozavodskaya,55.706634,37.657008,14
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.512,Tekhnopark,55.695,37.664167,15
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.53,Kolomenskaya,55.677423,37.663719,16
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.45,Kashirskaya,55.655745,37.649683,17
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.42,Kantemirovskaya,55.636107,37.656218,18
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.153,Tsaritsyno,55.620982,37.669612,19
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.96,Orekhovo,55.61269,37.695214,20
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.38,Domodedovskaya,55.610131,37.717111,21
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.57,Krasnogvardeyskaya,55.614075,37.742697,22
1,Moscow,2,Zamoskvoretskaya,4FB04F,2.257,Alma-Atinskaya,55.63349,37.765678,23
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.81,Medvedkovo,55.888103,37.661562,0
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.13,Babushkinskaya,55.870641,37.664341,1
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.129,Sviblovo,55.855558,37.653379,2
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.24,"Botanichesky Sad",55.844597,37.637811,3
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.27,VDNKh,55.819626,37.640751,4
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.8,Alexeevskaya,55.807794,37.638699,5
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.126,Rizhskaya,55.792494,37.636114,6
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.120,"Prospekt Mira",55.781827,37.633199,7
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.137,Sukharevskaya,55.772315,37.63285,8
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.144,Turgenevskaya,55.765371,37.636732,9
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.50,Kitay-gorod,55.756498,37.631326,10
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.90,"Tret'yakovskaya",55.74073,37.625624,11
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.94,"Oktyabr'skaya",55.731232,37.612851,12
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.157,Shabolovskaya,55.718828,37.607892,13
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.74,"Leninskiy Prospekt",55.70678,37.58499,14
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.3,Akademicheskaya,55.687147,37.5723,15
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.121,Profsoyuznaya,55.677671,37.562595,16
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.92,"Novye Cheryomushki",55.670077,37.554493,17
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.41,Kaluzhskaya,55.656682,37.540075,18
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.21,Belyaevo,55.642357,37.526115,19
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.56,"Kon'kovo",55.631857,37.519156,20
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.140,"Tyoply Stan",55.61873,37.505912,21
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.164,Yasenevo,55.606182,37.5334,22
1,Moscow,6,Kaluzhsko-Rizhskaya,F07E24,6.23,Novoyasenevskaya,55.601947,37.553017,23
1,Moscow,1,Sokolnicheskaya,E42313,1.148," Bulvar Rokossovskogo",55.814916,37.732227,0
1,Moscow,1,Sokolnicheskaya,E42313,1.155,Cherkizovskaya,55.802787,37.744863,1
1,Moscow,1,Sokolnicheskaya,E42313,1.117,"Preobrazhenskaya Ploschad",55.796322,37.713582,2
1,Moscow,1,Sokolnicheskaya,E42313,1.134,Sokolniki,55.789282,37.679895,3
1,Moscow,1,Sokolnicheskaya,E42313,1.60,Krasnoselskaya,55.780014,37.666097,4
1,Moscow,1,Sokolnicheskaya,E42313,1.54,Komsomolskaya,55.774072,37.654565,5
1,Moscow,1,Sokolnicheskaya,E42313,1.61,"Krasnye Vorota",55.768307,37.6478,6
1,Moscow,1,Sokolnicheskaya,E42313,1.143,"Chistye Prudy",55.76499,37.638293,7
1,Moscow,1,Sokolnicheskaya,E42313,1.66,Lubyanka,55.759889,37.625336,8
1,Moscow,1,Sokolnicheskaya,E42313,1.98,"Okhotny Ryad",55.757228,37.615078,9
1,Moscow,1,Sokolnicheskaya,E42313,1.4,"Biblioteka Imeni Lenina",55.752123,37.610388,10
1,Moscow,1,Sokolnicheskaya,E42313,1.64,Kropotkinskaya,55.745297,37.604217,11
1,Moscow,1,Sokolnicheskaya,E42313,1.103,"Park Kultury",55.736163,37.595027,12
1,Moscow,1,Sokolnicheskaya,E42313,1.152,Frunzenskaya,55.727462,37.58022,13
1,Moscow,1,Sokolnicheskaya,E42313,1.135,Sportivnaya,55.722388,37.562041,14
1,Moscow,1,Sokolnicheskaya,E42313,1.165,"Vorob'yevy Gory",55.709169,37.557293,15
1,Moscow,1,Sokolnicheskaya,E42313,1.149,Universitet,55.69329,37.534511,16
1,Moscow,1,Sokolnicheskaya,E42313,1.118,"Prospekt Vernadskogo",55.676549,37.504584,17
1,Moscow,1,Sokolnicheskaya,E42313,1.162,Yugo-Zapadnaya,55.663146,37.482852,18
1,Moscow,1,Sokolnicheskaya,E42313,1.505,Troparevo,55.6459,37.4725,19
1,Moscow,1,Sokolnicheskaya,E42313,1.513,Rumyantsevo,55.633,37.4419,20
1,Moscow,1,Sokolnicheskaya,E42313,1.514,Salaryevo,55.6227,37.424,21
1,Moscow,1,Sokolnicheskaya,E42313,1.678,"Filatov Lug",55.5997,37.4075,22
1,Moscow,1,Sokolnicheskaya,E42313,1.679,"Prokshino ",55.5813,37.4425,23
1,Moscow,1,Sokolnicheskaya,E42313,1.680,"Olkhovaya ",55.5692,37.4589,24
1,Moscow,1,Sokolnicheskaya,E42313,1.681,Kommunarka,55.559765,37.468716,25
1,Moscow,3,Arbatsko-Pokrovskaya,0072BA,3.159,Schelkovskaya,55.809962,37.798261,0
1,Moscow,3,Arbatsko-Pokrovskaya,0072BA,3.106,Pervomayskaya,55.794376,37.799364,1
1,Moscow,3,Arbatsko-Pokrovskaya,0072BA,3.40,Izmailovskaya,55.787713,37.779896,2
1,Moscow,3,Arbatsko-Pokrovskaya,0072BA,3.105,Partizanskaya,55.788401,37.74882,3
