id,city_id,line_id,name,lat,lng,order
54.509,78,54,Alabinskaya,53.209689,50.134417,0
54.307,78,54,Rossiyskaya,53.211385,50.15022,1
54.308,78,54,Moskovskaya,53.203791,50.159832,2
54.309,78,54,Gagarinskaya,53.200442,50.176595,3
54.310,78,54,Sportivnaya,53.201121,50.199286,4
54.311,78,54,Sovetskaya,53.201736,50.220657,5
54.312,78,54,Pobeda,53.207313,50.236414,6
54.313,78,54,Bezymyanka,53.212997,50.248891,7
54.314,78,54,Kirovskaya,53.211352,50.269777,8
54.315,78,54,Yungorodok,53.212701,50.282982,9
59.373,135,59,"Kholodna Hora",49.982512,36.181804,0
59.374,135,59,"Pivdennyi Vokzal",49.989613,36.205178,1
59.375,135,59,"Tsentralnyi Rynok",49.99277,36.219731,2
59.376,135,59,Sovetskaya,49.991084,36.232568,3
59.377,135,59,"Prospekt Haharina",49.980838,36.243402,4
59.378,135,59,Sportivna,49.979494,36.260532,5
59.379,135,59,"Zavod Imeni Malysheva",49.975966,36.280996,6
59.380,135,59,"Moskovskyi Prospekt",49.972259,36.301666,7
59.381,135,59,"Marshala Zhukova",49.966262,36.321187,8
59.382,135,59,"Radianskoi Armii",49.961852,36.342926,9
59.383,135,59,"Imeni O.S. Maselskoho",49.958526,36.359787,10
59.384,135,59,"Traktornyi Zavod",49.952614,36.37876,11
59.385,135,59,Proletarska,49.946562,36.399062,12
60.386,135,60,"Heroyiv Pratsi",50.025398,36.336287,0
60.387,135,60,Studentska,50.017683,36.329972,1
60.388,135,60,"Akademika Pavlova",50.008965,36.317755,2
60.389,135,60,"Akademika Barabashova",50.002313,36.304092,3
60.390,135,60,Kyivska,50.001213,36.270279,4
60.391,135,60,Pushkinska,50.003685,36.247489,5
60.392,135,60,Universytet,50.004501,36.233781,6
60.393,135,60,"Istorychnyi Muzey",49.992926,36.231211,7
61.394,135,61,Oleksiivska,50.0496,36.20666,0
61.395,135,61,"23 Serpnia",50.035524,36.220279,1
61.396,135,61,"Botanichnyi Sad",50.026659,36.222938,2
61.397,135,61,Naukova,50.013,36.226962,3
