id,city_id,line_id,name,lat,lng,order
54.509,78,54,"Алабинская",53.209689,50.134417,0
54.307,78,54,"Российская",53.211385,50.15022,1
54.308,78,54,"Московская",53.203791,50.159832,2
54.309,78,54,"Гагаринская",53.200442,50.176595,3
54.310,78,54,"Спортивная",53.201121,50.199286,4
54.311,78,54,"Советская",53.201736,50.220657,5
54.312,78,54,"Победа",53.207313,50.236414,6
54.313,78,54,"Безымянка",53.212997,50.248891,7
54.314,78,54,"Кировская",53.211352,50.269777,8
54.315,78,54,"Юнгородок",53.212701,50.282982,9
59.373,135,59,"Холодная гора",49.982512,36.181804,0
59.374,135,59,"Южный вокзал",49.989613,36.205178,1
59.375,135,59,"Центральный рынок",49.99277,36.219731,2
59.376,135,59,"Советская",49.991084,36.232568,3
59.377,135,59,"Проспект Гагарина",49.980838,36.243402,4
59.378,135,59,"Спортивная",49.979494,36.260532,5
59.379,135,59,"Завод имени Малышева",49.975966,36.280996,6
59.380,135,59,"Московский проспект",49.972259,36.301666,7
59.381,135,59,"Маршала Жукова",49.966262,36.321187,8
59.382,135,59,"Советской армии",49.961852,36.342926,9
59.383,135,59,"Имени А. С. Масельского",49.958526,36.359787,10
59.384,135,59,"Тракторный завод",49.952614,36.37876,11
59.385,135,59,"Пролетарская",49.946562,36.399062,12
60.386,135,60,"Героев труда",50.025398,36.336287,0
60.387,135,60,"Студенческая",50.017683,36.329972,1
60.388,135,60,"Академика Павлова",50.008965,36.317755,2
60.389,135,60,"Академика Барабашова",50.002313,36.304092,3
60.390,135,60,"Киевская",50.001213,36.270279,4
60.391,135,60,"Пушкинская",50.003685,36.247489,5
60.392,135,60,"Университет",50.004501,36.233781,6
60.393,135,60,"Исторический музей",49.992926,36.231211,7
61.394,135,61,"Алексеевская",50.0496,36.20666,0
61.395,135,61,"23 Августа",50.035524,36.220279,1
61.396,135,61,"Ботанический сад",50.026659,36.222938,2
61.397,135,61,"Научная",50.013,36.226962,3
61.398,135,61,"Госпром",50.004797,36.231571,4
61.399,135,61,"Архитектора Бекетова",49.998966,36.240518,5
