id,name
78,"Самара"
135,"Харьков"
160,"Алматы"
1,"Москва"
117,"Днепр (Днепропетровск)"
88,"Казань"
4,"Новосибирск"
2,"Санкт-Петербург"
115,"Киев"
1002,"Минск"
3,"Екатеринбург"
66,"Нижний Новгород"
